TimeStamp;Hue;Brightness
1278724340807874;317;100
1278724374136604;314;100
1278724407452835;315;100
1278724440780874;314;100
1278724474119220;316;100
1278724507542489;318;100
1278724540849835;315;100
1278724574076489;315;100
1278724607400104;315;100
1278724640722835;317;100
1278724674050989;316;100
1278724707476412;317;100
1278724740699720;317;100
1278724774017950;318;100
1278724807340104;317;100
1278724840666181;315;100
1278724873988066;317;100
1278724907314989;317;100
1278724940643066;315;100
1278724973966066;318;100
1278725007290643;319;100
1278725040642912;317;100
1278725073935219;317;100
1278725107259950;316;100
1278725140585489;314;100
1278725173903450;0;0
1278725207233027;0;0
1278725240562950;314;100
1278725273884065;317;100
1278725307210373;317;100
1278725340532296;317;100
1278725373849873;316;100
1278725407181988;316;100
1278725440503719;315;100
1278725473828411;319;100
1278725507151719;318;100
1278725540473988;318;100
1278725573793911;317;100
1278725607125527;317;100
1278725640445681;315;100
1278725673771796;316;100
1278725707171027;317;100
1278725740417296;315;100
1278725773743219;315;100
1278725807067027;318;100
1278725840470527;316;100
1278725873714911;315;100
1278725907045334;318;100
1278725940367065;315;100
1278725973688488;317;100
1278726007009603;317;100
1278726040352796;314;100
1278726073664796;316;100
1278726106985296;315;100
1278726140310719;314;100
1278726173640142;318;100
1278726206960488;318;100
1278726240284257;314;100
1278726273609065;0;0
1278726306933449;0;0
1278726340259026;315;100
1278726373581642;318;100
1278726406908295;317;100
1278726440239526;317;100
1278726473557141;316;100
1278726506883488;317;100
1278726540312488;316;100
1278726573527449;317;100
1278726606849295;317;100
1278726640174218;315;100
1278726673507218;317;100
1278726706833180;318;100
1278726740147026;319;100
1278726773474757;316;100
1278726806801026;317;100
1278726840186757;317;100
1278726873447103;315;100
1278726906772833;318;100
1278726940095295;317;100
1278726973424910;317;100
1278727006740295;318;100
1278727040075410;317;100
1278727073389910;319;100
1278727106725564;319;100
1278727140043679;317;100
1278727173363987;319;100
1278727206690526;317;100
1278727240012179;319;100
1278727273334795;316;100
1278727306658910;317;100
1278727339990602;315;100
1278727373317372;0;0
1278727406644525;0;0
1278727439956641;317;100
1278727473287795;321;100
1278727506611641;320;100
1278727539937641;320;100
1278727573278025;320;100
1278727606613179;319;100
1278727639906294;319;100
1278727673232910;320;100
1278727706559525;321;100
1278727739882256;319;100
1278727773207217;322;100
1278727806529410;320;100
1278727839860794;320;100
1278727873174794;322;100
1278727906497179;320;100
1278727939917679;320;100
1278727973147410;320;100
1278728006555602;319;100
1278728039801679;319;100
1278728073125102;319;100
1278728106448525;319;100
1278728139849256;320;100
1278728173100179;320;100
1278728206420679;320;100
1278728239742563;321;100
1278728273061448;320;100
1278728306397640;320;100
1278728339718948;319;100
1278728373041486;319;100
1278728406366217;319;100
1278728439749563;318;100
1278728473007448;0;0
1278728506331217;0;0
1278728539658986;314;100
1278728572989332;319;100
1278728606318448;319;100
1278728639642371;321;100
1278728672953563;321;100
1278728706299332;319;100
1278728739602832;319;100
1278728773026948;320;100
1278728806256409;318;100
1278728839576563;320;100
1278728872901755;318;100
1278728906226986;318;100
1278728939546947;320;100
1278728972873024;318;100
1278729006210063;320;100
1278729039525486;320;100
1278729072851563;319;100
1278729106179255;321;100
1278729139497947;319;100
1278729172822832;320;100
1278729206151563;319;100
1278729239479524;320;100
1278729272797601;321;100
1278729306114870;319;100
1278729339544024;321;100
1278729372769986;319;100
1278729406090409;319;100
1278729439419716;319;100
1278729472737755;320;100
1278729506070255;320;100
1278729539391408;319;100
1278729572717793;0;0
1278729606125139;0;0
1278729639361178;317;100
1278729672681831;324;100
1278729706082601;322;100
1278729739328985;324;100
1278729772671754;321;100
1278729805990678;322;100
1278729839305331;322;100
1278729872628754;323;100
1278729905982831;322;100
1278729939279831;323;100
1278729972602985;323;100
1278730005926408;323;100
1278730039313793;324;100
1278730072580485;321;100
1278730105998985;324;100
1278730139342754;322;100
1278730172550793;322;100
1278730205869562;321;100
1278730239198485;321;100
1278730272522677;323;100
1278730305857293;323;100
1278730339166677;322;100
1278730372495908;324;100
1278730405858754;322;100
1278730439142485;321;100
1278730472467523;322;100
1278730505794562;324;100
1278730539113677;323;100
1278730572475908;323;100
1278730605854369;321;100
1278730639108908;321;100
1278730672431715;0;0
1278730705740869;0;0
1278730739163754;0;0
1278730772382446;324;100
1278730805794869;323;100
1278730839034677;324;100
1278730872382138;322;100
1278730905681908;321;100
1278730939006946;323;100
1278730972332484;322;100
1278731005664638;323;100
1278731038983792;322;100
1278731072316523;322;100
1278731105624754;322;100
1278731138959984;324;100
1278731172287869;323;100
1278731205633638;323;100
1278731238926253;323;100
1278731272250676;321;100
1278731305586446;322;100
1278731338992984;323;100
1278731372229792;323;100
1278731405545599;322;100
1278731438874715;323;100
1278731472208753;322;100
1278731505530599;323;100
1278731538847446;322;100
1278731572182599;322;100
1278731605491561;321;100
1278731638821407;324;100
1278731672140984;322;100
1278731705486368;324;100
1278731738796561;323;100
1278731772117792;0;0
1278731805444445;0;0
1278731838770176;0;0
1278731872087791;322;100
1278731905421099;323;100
1278731938742214;322;100
1278731972074599;323;100
1278732005396868;323;100
1278732038710791;322;100
1278732072041445;322;100
1278732105386484;322;100
1278732138687022;324;100
1278732172008368;322;100
1278732205330714;322;100
1278732238658483;322;100
1278732271976907;323;100
1278732305304637;323;100
1278732338628560;322;100
1278732371957483;321;100
1278732405284137;320;100
1278732438607637;321;100
1278732471931868;322;100
1278732505249368;322;100
1278732538598560;323;100
1278732571921252;323;100
1278732605311483;325;100
1278732638551406;323;100
1278732671874022;323;100
1278732705195137;322;100
1278732738617983;324;100
1278732771843637;323;100
1278732805170022;323;100
1278732838506483;322;100
1278732871818598;0;0
1278732905143445;0;0
1278732938467791;0;0
1278732971795137;325;100
1278733005117368;327;100
1278733038442406;326;100
1278733071763252;326;100
1278733105087252;326;100
1278733138528406;325;100
1278733171746483;327;100
1278733205078290;327;100
1278733238398983;324;100
1278733271706098;326;100
1278733305037637;325;100
1278733338370060;326;100
1278733371684213;327;100
1278733405007752;327;100
1278733438436367;327;100
1278733471655252;326;100
1278733504976636;327;100
1278733538297098;325;100
1278733571623175;324;100
1278733604945213;325;100
1278733638278329;326;100
1278733671600867;324;100
1278733704928944;325;100
1278733738254290;324;100
1278733771575790;325;100
1278733805003367;326;100
1278733838228828;326;100
1278733871546136;326;100
1278733904865675;328;100
1278733938197713;325;100
1278733971520867;0;0
1278734004845675;0;0
1278734038167559;0;0
1278734071489828;328;100
1278734104824867;326;100
1278734138142521;326;100
